ra,dec,l,b,parallax,pmra,pmdec,g,bp,rp,parallax_error,ruwe
57.64173146042471,22.79158058190013,168.20978638103864,-23.937589918843805,0.8861621156260752,0.4147968788527699,-2.4798262154244934,19.698305,20.161734,18.936953,0.39984787,1.0261793
57.64747632021289,22.791394836486223,168.21414228266255,-23.934092114383,0.8703878183750882,-0.8888134632173874,-3.6024081399307057,16.28164,16.844507,15.572064,0.056313407,1.0476366
57.62752610119892,22.78736617741551,168.20252102368363,-23.94963922046974,,,,21.01992,21.492823,19.846027,,
57.63563240007012,22.803951833139735,168.19602635957276,-23.932443378029134,0.0615682799453304,7.536863101767776,-10.817462535154108,19.739168,20.89363,18.563202,0.41844848,1.0286955
57.65775161480579,22.802906354976415,168.2130434291257,-23.91921809018452,-0.6134812679033662,0.271469447738065,-2.3522084049305017,20.110525,20.286016,19.71977,0.57788855,0.9665323
57.65879062791935,22.801104709027875,168.21515788242328,-23.91987185401644,0.1503623379740853,44.09478096690978,-24.160927070458627,20.288858,21.29422,19.069527,0.8145388,1.0855215
57.66775551312239,22.815012528706067,168.211297735031,-23.904083662022423,2.7732701132896436,13.50827057689173,-16.38631758276746,20.53523,21.282984,19.33381,0.94590205,1.0734507
57.65507771121784,22.812868193958103,168.20360600946483,-23.913660504715786,-0.5547314607627994,0.1587450641128335,-0.8888863673343982,19.628147,19.940836,19.01209,0.39574322,0.9952881
57.70339084051718,22.792170158249498,168.25457880082024,-23.898154953559803,1.3975256810656642,0.6120310104444632,-4.337865255609747,20.202713,20.973284,19.189344,0.7228012,1.0211197
57.694424225579226,22.80421955569397,168.23895776361545,-23.895065979620384,-0.0779924194356311,0.022384631356211,-1.2040774887355448,19.4003,19.851067,18.820698,0.34763795,0.98169476
